 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************
$$SOE
 1901-Apr-29 00:00, , , 09 01 23.79, +23 29 13.8,    7.681,  5.174,  2.11425707064786, 19.6749523,   91.6596,/T,   25.1596,   0.5980911,  109.25135,  52.156746,         n.a.,    n.a.,
 1901-May-06 00:00, , , 09 08 42.42, +22 53 04.6,    7.757,  5.167,  2.19361157194983, 19.5571791,   86.6974,/T,   25.2524,   0.6753231,  109.39426,  47.522106,         n.a.,    n.a.,
 1901-May-13 00:00, , , 09 16 48.38, +22 12 24.2,    7.824,  5.157,  2.27222007717491, 19.3080007,   81.9593,/T,   25.1552,   0.7443682,  109.66332,  43.361296,         n.a.,    n.a.,
 1901-May-20 00:00, , , 09 25 35.53, +21 27 21.1,    7.884,  5.143,  2.34954634563921, 18.9189595,   77.4212,/T,   24.8888,   0.8065495,  110.00443,  39.552963,         n.a.,    n.a.,
 1901-May-27 00:00, , , 09 34 58.14, +20 38 06.8,    7.935,  5.126,  2.42501928781347, 18.3996827,   73.0657,/T,   24.4728,   0.8613474,  110.39287,  36.080966,         n.a.,    n.a.,
 1901-Jun-03 00:00, , , 09 44 50.53, +19 44 53.9,    7.980,  5.106,  2.49821951249784, 17.8009070,   68.8725,/T,   23.9273,   0.9096335,  110.82334,  32.943096,         n.a.,    n.a.,
 1901-Jun-10 00:00, , , 09 55 08.18, +18 47 51.7,    8.017,  5.084,  2.56887786390612, 17.1424544,   64.8200,/T,   23.2681,   0.9531026,  111.27728,  30.078351,         n.a.,    n.a.,
 1901-Jun-17 00:00, , , 10 05 47.73, +17 47 08.5,    8.048,  5.059,  2.63672598464409, 16.4055010,   60.8909,/T,   22.5071,   0.9927613,  111.72718,  27.403615,         n.a.,    n.a.,
 1901-Jun-24 00:00, , , 10 16 46.13, +16 42 56.3,    8.072,  5.033,  2.70142277443201, 15.5900696,   57.0749,/T,   21.6556,   1.0279786,  112.16097,  24.909164,         n.a.,    n.a.,
 1901-Jul-01 00:00, , , 10 28 00.27, +15 35 30.0,    8.090,  5.006,  2.76273774518092, 14.7377320,   53.3599,/T,   20.7257,   1.0592263,  112.57927,  22.615340,         n.a.,    n.a.,
